,,Front end,https://app.prepedu.com/vi/lesson/16231/69784,,,
block,timestamp,source,translation,accuracy,naturalness,note/corection
1,"00:00:11,910 --> 00:00:15,350","Welcome, you guys, to our IELTS Intermediate Listening Course.",歡迎大家來到我們的 IELTS 中級聽力課程。,100,80,"For a Taiwanese, we tend to say 雅思 instead of IELTS"
,,,,,,
2,"00:00:15,810 --> 00:00:19,330","My name is Brandon, and I'll be your instructor for this course.",我的名字是 Brandon，我將會是您這門課程的講師。,100,75,"“您” is used to show respect, but normally in the class, teacher should be the one who receives the respect"
,,,,,,
3,"00:00:20,150 --> 00:00:24,470","Bruce Lee famously said, I fear not the man who has practiced",李小龍有句名言：「我不怕練過,80,90,
,,,,,,
4,"00:00:24,470 --> 00:00:30,210","10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.",一萬種踢法，但我怕的是把一種踢法練了一萬次的人。」,80,100,一萬種踢法的人，我怕的是把一種踢法練了一萬次的人。」
,,,,,,
5,"00:00:30,910 --> 00:00:36,510","His saying about practicing 10,000 kicks emphasizes the importance of deep",他關於練習一萬次踢法的說法，強調了深入,100,100,
,,,,,,
6,"00:00:36,510 --> 00:00:41,990","practice and repetition, rather than mindlessly going through a large number of techniques.",練習與重複，而不是盲目地學習大量的技巧。,100,100,
,,,,,,
7,"00:00:42,710 --> 00:00:46,630",And this is also true in developing your IELTS listening skills.,這也同樣適用於培養您的 IELTS 聽力技巧。,100,75,
,,,,,,
8,"00:00:47,570 --> 00:00:52,510",It's more important to practice and analyze a single listening test multiple,與其匆忙地做許多測驗，不如多次練習,90,80,
,,,,,,
9,"00:00:52,510 --> 00:00:55,830","times, rather than rushing through many tests.",和分析單一聽力測驗。,100,80,
,,,,,,
10,"00:00:56,490 --> 00:00:59,270",We'll apply this learning method throughout our course.,我們將在整個課程中應用這種學習方法。,100,100,
,,,,,,
11,"00:00:59,270 --> 00:01:00,490",Let's go.,我們開始吧。,100,100,
,,,,,,
12,"00:01:04,940 --> 00:01:08,780","In the previous course, you learned important skills for the listening test.",在之前的課程中，您學習了聽力測驗的重要技巧。,100,75,
,,,,,,
13,"00:01:09,420 --> 00:01:14,280","And in this course, we'll focus on practicing thoroughly to master those",而在此課程中，我們將著重於徹底練習,100,80,而在此課程中，我們將著重於扎實的練習
,,,,,,
14,"00:01:14,280 --> 00:01:18,980","skills, and also mastering the strategies for different types of questions.",以掌握這些技巧，並掌握不同題型的策略。,100,90,
,,,,,,
15,"00:01:19,660 --> 00:01:24,300","Eager to pick up some useful knowledge to ace the IELTS listening test, aren't you?",是不是很想學習一些實用的知識，讓您在 IELTS 聽力測驗中考高分呢？,100,75,
,,,,,,
16,"00:01:24,640 --> 00:01:29,180","But wait, before you jump into taking the exam, let's make sure",不過，在您急著參加考試之前，讓我們確保我們,90,60,
,,,,,,
17,"00:01:29,180 --> 00:01:34,640",we're well prepared and clear up common misunderstandings about the IELTS listening test.,已充分準備好，並釐清關於 IELTS 聽力測驗的常見誤解。,100,75,
,,,,,,
18,"00:01:35,200 --> 00:01:37,420","Let's see what those are, shall we?",讓我們來看看這些是什麼，好嗎？,90,80,
,,,,,,
19,"00:01:38,580 --> 00:01:42,040","First, there are two ways you can choose to take the IELTS",首先，您可以選擇兩種方式參加 IELTS 測驗，,100,75,
,,,,,,
20,"00:01:42,040 --> 00:01:45,680","test, IELTS on paper and IELTS on computer.",分別是 IELTS 紙筆測驗和 IELTS 電腦測驗。,100,80,
,,,,,,
21,"00:01:46,380 --> 00:01:49,940","For paper-based IELTS, the test lasts for a total of 40",針對紙筆測驗的 IELTS，測驗總長為,90,80,
,,,,,,
22,"00:01:49,940 --> 00:01:56,560","minutes, in which 30 minutes are of listening to the test and 10 minutes of transfer time.",40 分鐘，其中 30 分鐘為聽力測驗，另外 10 分鐘為謄寫時間。,100,80,
,,,,,,
23,"00:01:57,280 --> 00:02:01,520","However, for computer-based IELTS, the candidate does not have an extra",不過，針對電腦測驗的 IELTS，考生沒有額外的,100,80,
,,,,,,
24,"00:02:01,520 --> 00:02:07,900","10 minutes for transfer time, but enters answers directly on the screen while listening to the test.",10 分鐘謄寫時間，而是直接在聆聽測驗時於螢幕上輸入答案。,100,60,
,,,,,,
25,"00:02:08,400 --> 00:02:10,620",The IELTS listening has four parts.,IELTS 聽力測驗有四個部分。,100,80,
,,,,,,
26,"00:02:11,480 --> 00:02:16,920","Part 1, such as conversations between a hotel receptionist and a customer, etc.",第一部分，例如飯店接待員與顧客之間的對話等等。,100,90,
,,,,,,
27,"00:02:17,440 --> 00:02:20,480","Part 2, a talk by one person, also known as a monologue,",第二部分，由一人發表的談話，也稱為獨白，,80,60,
,,,,,,
28,"00:02:20,920 --> 00:02:27,500","set in an everyday social context, such as a speech about a local family, etc.",內容設定在日常社交情境中，例如關於當地家庭的演講等等。,90,60,
,,,,,,
29,"00:02:28,340 --> 00:02:35,280","Part 3, a conversation between two or four people, set in an educational or training context.",第三部分，兩人或四人之間的對話，內容設定在教育或訓練情境中。,100,90,
,,,,,,
30,"00:02:36,020 --> 00:02:40,240","Part 4, a talk by one person, also known as a monologue,",第四部分，由一人發表的談話，也稱為獨白，,80,60,
,,,,,,
31,"00:02:40,600 --> 00:02:45,840","on an academic subject, for example a university lecture, etc.",探討學術主題，例如大學講座等。,100,90,
,,,,,,
32,"00:02:46,480 --> 00:02:49,680",You'll take the first three parts of the test in the following,您將依序進行測驗的前三個部分，,100,75,
,,,,,,
